iter	Passed	Remaining
939	4110	262
940	4113	257
941	4117	253
942	4120	249
943	4123	244
944	4127	240
945	4134	235
946	4138	231
947	4142	227
948	4148	222
949	4155	218
950	4158	214
951	4163	209
952	4166	205
953	4170	201
954	4173	196
955	4177	192
956	4180	187
957	4183	183
958	4187	179
959	4190	174
960	4193	170
961	4196	165
962	4201	161
963	4204	157
964	4208	152
965	4212	148
966	4216	143
967	4222	139
968	4225	135
969	4228	130
970	4232	126
971	4236	122
972	4240	117
973	4245	113
974	4248	108
975	4253	104
976	4257	100
977	4261	95
978	4264	91
979	4267	87
980	4269	82
981	4273	78
982	4276	73
983	4279	69
984	4282	65
985	4285	60
986	4288	56
987	4291	52
988	4294	47
989	4295	43
990	4298	39
991	4301	34
992	4304	30
993	4307	25
994	4309	21
995	4313	17
996	4318	12
997	4321	8
998	4324	4
999	4328	0
